,age,season,games_played,starts,mins,goals,shots,shots_on_target,shot_conversion_rate,shots_on_target%,assists,completed_passes%,key_passes,key_passes_per90,g+a,non_pens_goals,pens,yellow_card,red_card,xg,npxg,xa,npxg+xa,progC,progP,progR,goals_per90,assists_per90,goals_and_assists_per90,non_pens_goals_per90,xg_per90,xa_per90,xg_xa_per90,npxg_per90,npxg_xa_per90,g+a_per90,takes_on_attemped,takes_on_succeeded,takes_on_succeeded%,assist_conversion_rate,fifa rating,player growth,league_rating,our_rating
0,18,2019-2020,8,5,362,0,3,0,,0.0,0,52.0,3,0.745856354,0,0,0,0,0,0.1,0.1,0.06,0.16,5,10,12,0.0,0.0,0.0,0.0,0.024861878453038676,0.014917127071823206,0.039779005524861875,0.024861878453038676,0.039779005524861875,0.0,5,5,100.0,0.0,59.0,,0.5,
1,19,2020-2021,42,40,3487,11,97,43,25.581395348837212,44.329896907216494,6,67.0,40,1.03240608,17,10,1,10,0,5.934455445,5.256262044,4.391625013,8.648105495,100,76,250,0.28391167192429023,0.15486091195870377,0.438772583882994,0.2581015199311729,0.15316919703183254,0.1133485090823057,0.22320891727846282,0.13566492227129337,0.22320891727846282,0.438772583882994,100,71,71.0,1.366236867,69.0,10.0,0.5,56.8772979797537
2,20,2021-2022,50,48,4255,17,87,33,51.515151515151516,37.93103448275862,10,58.5,67,1.417156287,27,14,3,3,0,13.6,11.0,9.4,19.7,137,85,275,0.3595769682726205,0.21151586368977673,0.5710928319623971,0.29612220916568743,0.2876615746180963,0.19882491186839013,0.4166862514688602,0.2326674500587544,0.4166862514688602,0.5710928319623971,113,57,50.44247788,1.063829787,72.0,3.0,1.5,70.5454330341709
3,21,2022-2023,44,37,3296,10,62,31,32.25806451612903,50.0,3,74.8,32,0.873786408,13,8,2,7,0,10.0,7.6,4.6,10.8,100,45,173,0.27305825242718446,0.08191747572815535,0.3549757281553398,0.21844660194174756,0.27305825242718446,0.12560679611650485,0.29490291262135926,0.20752427184466019,0.29490291262135926,0.3549757281553398,102,45,44.11764706,0.652173913,76.0,4.0,3.0,77.76247750952818
4,22,2023-2024,38,28,2494,5,60,24,20.833333333333336,40.0,10,67.4,37,1.335204491,15,5,0,4,0,12.0,12.0,9.7,20.2,111,79,319,0.18043303929430632,0.36086607858861264,0.541299117882919,0.18043303929430632,0.4330392943063352,0.3500400962309542,0.7289494787489976,0.4330392943063352,0.7289494787489976,0.541299117882919,80,47,58.75,1.030927835,78.0,2.0,3.0,74.66094181603222
5,23,2024-2025,33,23,2181,14,79,26,53.84615384615385,32.91139240506329,3,70.8,18,0.765233821,17,14,0,3,0,12.05,12.05,3.6,15.65,56,69,222,0.5777166437414031,0.12379642365887208,0.7015130674002751,0.5777166437414031,0.4972489683631362,0.1485557083906465,0.6458046767537827,0.4972489683631362,0.6458046767537827,0.7015130674002751,42,20,46.15384615,0.833333333,,,3.0,83.5678880305977
